HU,67.47658437700001
SE,47.4697443564
BE,62.7165882252
IS,66.4858289191537
IE,53.991331611893
RO,62.11979688674249
AT,58.95361788195
BG,58.35473933649
LU,53.1174474393223
,68.25895821476
HR,53.241254868947
IT,55.5699654186
SI,56.87538713329
UK,56.98261664352769
CZ,65.87216181597
MT,66.8134313364196
CY,53.843131364398
LV,13.341852687447
NO,49.2922343687
DE,55.494984647217
NL,62.1586536933
EE,58.44853895188999
PT,62.89651152878199
DK,13.3493468624795
PL,66.15827812160001
EL,58.3887472339
FR,55.22175679738201
FI,52.5641133429285
