BG,60.71428571428572
UK,77
CY,60.71428571428572
CZ,57.85714285714285
DE,74.85714285714286
DK,87.28571428571429
EE,93.85714285714286
EL,48.14285714285715
ES,91.28571428571429
EU,75.19132653061226
FI,89.71428571428571
FR,80
HR,54.14285714285715
HU,44.57142857142857
IE,90.5
IS,0.963076
IT,78
LT,75.85714285714286
LU,72
LV,81.57142857142857
MT,99
NL,85.14285714285714
NO,0.893358
PL,77.57142857142857
,0.91925
TR,0.895445
PT,97.71428571428571
RO,51.28571428571428
SE,86.85714285714286
AT,90.42857142857143
SI,72.42857142857143
BE,81.28571428571429
SK,45.57142857142857
